Extraction Date:,9/23/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2A,A2B,A2C,A3B,A4,A5,B2,B3,B4,B5,B6,B7,B8,C2A,C2A.1,C2A.2,C2A.3,C2A.4,C2B,C2C,C3A,C3B,C3C,D2,D3
Reporting Year,StateName,LEAName,New/Closed LEA/ESA,NCESID,Year used to make the LEA/ESA/SEA determinations,Total LEA/ESA allocation for Section 611 of IDEA FFY 2017 ($),Total LEA/ESA allocation for Section 611 of IDEA FFY 2018 ($),Increase in LEA/ESA allocations for Section 611 from FFY 2017 to FFY 2018 ($),Total LEA/ESA allocation for Section 619 of IDEA FFY 2018 ($),Total LEA/ESA allocations for Section 611 and 619 of IDEA for FFY 2018 ($),15% of the total LEA/ESA allocations for Section 611 and 619 of IDEA for FFY 2018 ($),Determination under 34 CFR 300.600(a)(2) that controls whether the LEA may be able to reduce MOE during SY 2018-19,Reduction of local and/or state funds taken pursuant to Section 613(a)(2)(C) by the LEA/ESA during SY 2018-19 ($),Percent of the available reduction taken by LEA /ESA during SY 2018-19 (%),Did the State determine whether the LEA/ESA met the MOE compliance standard in FFY 2018/SY 2018-19? (Y/N),Did the LEA/ESA meet the MOE compliance standard in FFY 2018/SY 2018-19? (Y/N),"By the date of this data submission, did the State return non-Federal funds to the Department based on the failure of the LEA/ESA to meet the MOE compliance standard in FFY 2018/SY 2018-19? (Y/N)",What amount of non-Federal funds did the State return to the Department based on the failure of the LEA/ESA to meet the MOE compliance standard in FFY 2018/SY 2018-19? ($),Required CEIS Was the LEA/ESA required to use 15% of funds for CEIS due to significant disproportionality in SY 2018-19? (Y/N),Required CEIS Was the LEA/ESA identified as having significant disproportionality due to 'identification as a child with a disability'? (Y/N),Required CEIS Was the LEA/ESA identified as having significant disproportionality due to 'identification by disability category'? (Y/N),Required CEIS Was the LEA/ESA identified as having significant disproportionality due to 'placement in a particular educational setting'? (Y/N),Required CEIS Was the LEA/ESA identified as having significant disproportionality due to 'disciplinary action'? (Y/N),Required CEIS Amount reserved for required CEIS in the LEA /ESA in SY 2018-19 ($),Required CEIS Percent taken for required CEIS in the LEA /ESA in SY 2018-19 (%),Voluntary CEIS Did the LEA/ESA voluntarily use up to 15% of IDEA 611 and 619 fund for CEIS in SY 2018-19? (Y/N),Voluntary CEIS Amount reserved for voluntary CEIS in SY 2018-19 ($),Voluntary CEIS Percent taken for voluntary CEIS during SY 2018-19 (%),Total number of children receiving CEIS under the IDEA in the LEA/ESA during SY 2018-19,"Total number of children who received CEIS under the IDEA anytime in the past two school years (including SY 2016-17, SY 2017-18 and SY 2018-19) and received special education and related services in SY 2018-19"
2018,Alabama,Albertville City,,100005,2016-17,1063377,1119668,56291,19325,1138993,170848.95,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Marshall County,,100006,2016-17,1229602,1279933,50331,21985,1301918,195287.7,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Hoover City,,100007,2016-17,2454691,2586514,131823,44370,2630884,394632.6,2,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Madison City,,100008,2016-17,1798314,1931861,133547,43318,1975179,296276.85,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Leeds City,,100011,2016-17,431197,443333,12136,4593,447926,67188.9,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Boaz City,,100012,2016-17,481661,504675,23014,10475,515150,77272.5,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Trussville City,,100013,2016-17,732592,779086,46494,19457,798543,119781.45,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Alexander City,,100030,2016-17,709015,741943,32928,23092,765035,114755.25,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Andalusia City,,100060,2016-17,445983,468509,22526,31649,500158,75023.7,2,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Anniston City,,100090,2016-17,599460,625384,25924,31296,656680,98502,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Arab City,,100100,2016-17,549087,567139,18052,14738,581877,87281.55,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Athens City,,100120,2016-17,964568,919441,-45127,14032,933473,140020.95,1,+,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Attalla City,,100180,2016-17,429700,433021,3321,11998,445019,66752.85,2,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Saraland City,,100185,2016-17,495167,526779,31612,8149,534928,80239.2,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Chickasaw City,,100188,2016-17,280843,308420,27577,5510,313930,47089.5,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Satsuma City,,100189,2016-17,372517,392735,20218,5745,398480,59772,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Alabaster City,,100190,2016-17,1139760,1188626,48866,20870,1209496,181424.4,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Pelham City,,100194,2016-17,653789,685526,31737,8196,693722,104058.3,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Pike Road City,,100195,2016-17,229712,271625,41913,8575,280200,42030,2,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Acceleration Day and Evening Academy,,100197,2016-17,87857,56708,-31149,0,56708,8506.2,+,+,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,University Charter School,New,100199,2016-17,+,73303,73303,+,73303,10995.45,+,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Auburn City,,100210,2016-17,1458082,1539626,81544,30176,1569802,235470.3,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Autauga County,,100240,2016-17,1933692,2010198,76506,39163,2049361,307404.15,2,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Baldwin County,,100270,2016-17,6412724,6740326,327602,164843,6905169,1035775.35,2,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Barbour County,,100300,2016-17,280679,285186,4507,13848,299034,44855.1,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Bessemer City,,100330,2016-17,1010434,1045319,34885,18997,1064316,159647.4,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Bibb County,,100360,2016-17,850478,876912,26434,28783,905695,135854.25,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Birmingham City,,100390,2016-17,6955083,7137648,182565,151043,7288691,1093303.65,2,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Blount County,,100420,2016-17,1618097,1678706,60609,39091,1717797,257669.55,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Brewton City,,100450,2016-17,249856,263675,13819,7724,271399,40709.85,2,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Bullock County,,100480,2016-17,404259,418625,14366,23398,442023,66303.45,3,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Butler County,,100510,2016-17,864402,877822,13420,21853,899675,134951.25,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Calhoun County,,100540,2016-17,2089654,2127965,38311,30048,2158013,323701.95,1,19155,100,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Chambers County,,100600,2016-17,867866,899783,31917,35834,935617,140342.55,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Cherokee County,,100630,2016-17,972197,999169,26972,21166,1020335,153050.25,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Chilton County,,100660,2016-17,1778161,1832774,54613,93732,1926506,288975.9,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Choctaw County,,100690,2016-17,416386,422621,6235,16702,439323,65898.45,1,3117,99.98,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Clarke County,,100720,2016-17,702666,709096,6430,31485,740581,111087.15,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Clay County,,100750,2016-17,481276,493955,12679,9614,503569,75535.35,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Cleburne County,,100780,2016-17,631102,647378,16276,47277,694655,104198.25,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Coffee County,,100810,2016-17,478191,503203,25012,19863,523066,78459.9,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Colbert County,,100840,2016-17,727086,758399,31313,21620,780019,117002.85,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Conecuh County,,100870,2016-17,485624,525030,39406,17473,542503,81375.45,1,19703,100,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Coosa County,,100900,2016-17,304606,305126,520,12713,317839,47675.85,2,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Covington County,,100930,2016-17,738057,751910,13853,44271,796181,119427.15,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Crenshaw County,,100960,2016-17,512066,531219,19153,10865,542084,81312.6,2,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Cullman City,,100990,2016-17,620247,654925,34678,27044,681969,102295.35,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Cullman County,,101020,2016-17,2040233,2120724,80491,58371,2179095,326864.25,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Dale County,,101050,2016-17,720717,756030,35313,13961,769991,115498.65,1,17656,100,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Daleville City,,101080,2016-17,293352,293736,384,9503,303239,45485.85,2,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Dallas County,,101110,2016-17,891434,922021,30587,19055,941076,141161.4,1,15293,100,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,DeKalb County,,101140,2016-17,1998966,2048885,49919,42405,2091290,313693.5,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Decatur City,,101170,2016-17,1949324,2035499,86175,53384,2088883,313332.45,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Demopolis City,,101200,2016-17,456657,481457,24800,14694,496151,74422.65,1,12400,100,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Dothan City,,101230,2016-17,2238491,2318537,80046,116659,2435196,365279.4,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Elba City,,101260,2016-17,181697,189058,7361,6116,195174,29276.1,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Elmore County,,101290,2016-17,2403371,2493961,90590,54416,2548377,382256.55,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Enterprise City,,101320,2016-17,1326256,1402699,76443,24586,1427285,214092.75,1,38221,100,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Escambia County,,101350,2016-17,1056982,1075616,18634,28287,1103903,165585.45,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Etowah County,,101380,2016-17,1958689,1994453,35764,43586,2038039,305705.85,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Eufaula City,,101410,2016-17,783539,944708,161169,19195,963903,144585.45,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Fairfield City,,101440,2016-17,418122,440877,22755,11278,452155,67823.25,2,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Fayette County,,101470,2016-17,559877,573471,13594,17392,590863,88629.45,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Florence City,,101530,2016-17,969824,999071,29247,38590,1037661,155649.15,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Fort Payne City,,101560,2016-17,679438,710325,30887,16656,726981,109047.15,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Franklin County,,101590,2016-17,731097,777120,46023,17988,795108,119266.2,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Gadsden City,,101620,2016-17,1252514,1294784,42270,67999,1362783,204417.45,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
