Extraction Date:,9/23/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2A,A2B,A2C,A3B,A4,A5,B2,B3,B4,B5,B6,B7,B8,C2A,C2A.1,C2A.2,C2A.3,C2A.4,C2B,C2C,C3A,C3B,C3C,D2,D3
2018,Alabama,Geneva City,,101640,2016-17,299317,308026,8709,17207,325233,48784.95,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Geneva County,,101660,2016-17,605749,632236,26487,8772,641008,96151.2,2,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Greene County,,101680,2016-17,309840,305549,-4291,41214,346763,52014.45,2,+,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Guntersville City,,101690,2016-17,399115,408030,8915,10066,418096,62714.4,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Hale County,,101710,2016-17,654197,668327,14130,43992,712319,106847.85,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Haleyville City,,101720,2016-17,384360,389460,5100,17074,406534,60980.1,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Hartselle City,,101730,2016-17,654687,698905,44218,17794,716699,107504.85,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Henry County,,101740,2016-17,574516,588008,13492,22076,610084,91512.6,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Homewood City,,101760,2016-17,769684,817071,47387,11145,828216,124232.4,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Houston County,,101770,2016-17,1440168,1515684,75516,46382,1562066,234309.9,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Huntsville City,,101800,2016-17,5285214,5509713,224499,124760,5634473,845170.95,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Jackson County,,101830,2016-17,1196718,1235097,38379,32618,1267715,190157.25,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Jacksonville City,,101860,2016-17,355250,374393,19143,8781,383174,57476.1,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Jasper City,,101890,2016-17,602687,628434,25747,20966,649400,97410,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Jefferson County,,101920,2016-17,8842071,9153375,311304,214001,9367376,1405106.4,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Lamar County,,101950,2016-17,527360,552821,25461,25859,578680,86802,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Lanett City,,101980,2016-17,241257,261159,19902,11261,272420,40863,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Lauderdale County,,102010,2016-17,1771702,1825419,53717,39143,1864562,279684.3,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Lawrence County,,102040,2016-17,1200373,1234881,34508,53955,1288836,193325.4,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Lee County,,102070,2016-17,2011551,2094522,82971,61089,2155611,323341.65,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Limestone County,,102100,2016-17,1814525,2000293,185768,39637,2039930,305989.5,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Linden City,,102130,2016-17,161863,165603,3740,13628,179231,26884.65,2,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Lowndes County,,102160,2016-17,491573,500823,9250,39291,540114,81017.1,2,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Macon County,,102190,2016-17,545029,547125,2096,21880,569005,85350.75,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Madison County,,102220,2016-17,3742492,3902347,159855,66563,3968910,595336.5,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Marengo County,,102250,2016-17,282148,288680,6532,5518,294198,44129.7,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Marion County,,102310,2016-17,820205,840370,20165,14816,855186,128277.9,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Midfield City,,102350,2016-17,301627,310991,9364,15119,326110,48916.5,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Mobile County,,102370,2016-17,13691566,14078202,386636,339004,14417206,2162580.9,1,193318,100,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Monroe County,,102400,2016-17,784660,809523,24863,27144,836667,125500.05,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Montgomery County,,102430,2016-17,7086798,7249362,162564,197725,7447087,1117063.05,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Morgan County,,102480,2016-17,1881420,1930015,48595,64373,1994388,299158.2,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Mountain Brook City,,102490,2016-17,777098,807708,30610,18630,826338,123950.7,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Muscle Shoals City,,102520,2016-17,496100,520851,24751,10497,531348,79702.2,1,12375,100,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Oneonta City,,102550,2016-17,279989,293199,13210,13741,306940,46041,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Opelika City,,102580,2016-17,1005911,1067419,61508,48284,1115703,167355.45,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Opp City,,102610,2016-17,310730,322103,11373,19262,341365,51204.75,2,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Oxford City,,102635,2016-17,851737,877154,25417,19189,896343,134451.45,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Ozark City,,102640,2016-17,572194,594531,22337,25820,620351,93052.65,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Pell City,,102650,2016-17,925307,953349,28042,26695,980044,147006.6,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Perry County,,102670,2016-17,433049,428425,-4624,10735,439160,65874,2,+,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Phenix City,,102700,2016-17,1369392,1455732,86340,35967,1491699,223754.85,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Pickens County,,102730,2016-17,704357,717575,13218,15243,732818,109922.7,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Piedmont City,,102760,2016-17,287248,288017,769,8596,296613,44491.95,2,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Pike County,,102790,2016-17,575216,605192,29976,15718,620910,93136.5,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Randolph County,,102820,2016-17,522877,530660,7783,19479,550139,82520.85,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Roanoke City,,102850,2016-17,326011,347697,21686,6303,354000,53100,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Russell County,,102880,2016-17,758478,805662,47184,8632,814294,122144.1,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Russellville City,,102910,2016-17,482346,488597,6251,20650,509247,76387.05,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Scottsboro City,,102940,2016-17,606266,624477,18211,12825,637302,95595.3,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Selma City,,102970,2016-17,938166,930836,-7330,41376,972212,145831.8,1,+,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Sheffield City,,103000,2016-17,295563,305231,9668,15074,320305,48045.75,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Shelby County,,103030,2016-17,3931838,4151146,219308,85343,4236489,635473.35,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Saint Clair County,,103062,2016-17,1787227,1890340,103113,38792,1929132,289369.8,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Sumter County,,103090,2016-17,516417,447420,-68997,36374,483794,72569.1,2,+,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Sylacauga City,,103120,2016-17,492890,503208,10318,10182,513390,77008.5,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Talladega City,,103150,2016-17,506292,527206,20914,19991,547197,82079.55,3,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Talladega County,,103180,2016-17,1747100,1801049,53949,42586,1843635,276545.25,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Tallapoosa County,,103210,2016-17,711043,735139,24096,29627,764766,114714.9,2,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Tallassee City,,103240,2016-17,394275,405362,11087,15115,420477,63071.55,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Tarrant City,,103270,2016-17,319187,333823,14636,13799,347622,52143.3,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Thomasville City,,103300,2016-17,285304,278567,-6737,6456,285023,42753.45,1,+,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Troy City,,103330,2016-17,479467,502507,23040,17591,520098,78014.7,1,11520,100,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Tuscaloosa City,,103360,2016-17,2423011,2540586,117575,112971,2653557,398033.55,1,58757,99.95,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Tuscaloosa County,,103390,2016-17,3691962,3873119,181157,86731,3959850,593977.5,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Tuscumbia City,,103420,2016-17,307989,318001,10012,23666,341667,51250.05,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Vestavia Hills City,,103430,2016-17,1238178,1302747,64569,16024,1318771,197815.65,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Walker County,,103450,2016-17,1857547,1900444,42897,93753,1994197,299129.55,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Washington County,,103480,2016-17,604694,611747,7053,31025,642772,96415.8,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Wilcox County,,103510,2016-17,503925,503699,-226,26307,530006,79500.9,1,+,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Winfield City,,103540,2016-17,270481,279541,9060,10326,289867,43480.05,2,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alabama,Winston County,,103580,2016-17,625188,630720,5532,19855,650575,97586.25,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alaska,Lower Kuskokwim School District,,200001,2017-18,1158121,1237378,79257,18754,1256132,188419.8,3,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alaska,Lower Yukon School District,,200003,2017-18,584666,615398,30732,3676,619074,92861.1,3,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alaska,Yupiit School District,,200004,2017-18,150417,150216,-201,1853,152069,22810.35,2,+,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alaska,Kashunamiut School District,,200005,2017-18,98929,98774,-155,2235,101009,15151.35,3,+,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alaska,Mount Edgecumbe High School,,200006,2017-18,110669,89405,-21264,0,89405,13410.75,2,+,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alaska,Aleutians East Borough School District,,200007,2017-18,46793,45566,-1227,1750,47316,7097.4,3,+,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alaska,Aleutian Region School District,,200010,2017-18,30519,30789,270,432,31221,4683.15,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alaska,Bering Strait School District,,200020,2017-18,547151,581454,34303,9511,590965,88644.75,2,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2018,Alaska,Bristol Bay Borough School District,,200030,2017-18,38140,39504,1364,33,39537,5930.55,2,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
