Extraction Date:,8/28/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2A,A2B,A2C,A3B,A4,A5,B2,B3,B4,B5,B6,B7,B8,C2A,C2A.1,C2A.2,C2A.3,C2A.4,C2B,C2C,C3A,C3B,C3C,D2,D3
Reporting Year,StateName,LEAName,New/Closed LEA/ESA,NCESID,Year used to make the LEA/ESA/SEA determinations,Total LEA/ESA allocation for Section 611 of IDEA FFY 2016 ($),Total LEA/ESA allocation for Section 611 of IDEA FFY 2017 ($),Increase in LEA/ESA allocations for Section 611 from FFY 2016 to FFY 2017 ($),Total LEA/ESA allocation for Section 619 of IDEA FFY 2017 ($),Total LEA/ESA allocations for Section 611 and 619 of IDEA for FFY 2017 ($),15% of the total LEA/ESA allocations for Section 611 and 619 of IDEA for FFY 2017 ($),Determination under 34 CFR 300.600(a)(2) that controls whether the LEA may be able to reduce MOE during SY 2017-18,Reduction of local and/or state funds taken pursuant to Section 613(a)(2)(C) by the LEA/ESA during SY 2017-18 ($),Percent of the available reduction taken by LEA /ESA during SY 2017-18 (%),Did the State determine whether the LEA/ESA met the MOE compliance standard in FFY 2017/SY 2017-18? (Y/N),Did the LEA/ESA meet the MOE compliance standard in FFY 2017/SY 2017-18? (Y/N),"By the date of this data submission, did the State return non-Federal funds to the Department based on the failure of the LEA/ESA to meet the MOE compliance standard in FFY 2017/SY 2017-18? (Y/N)",What amount of non-Federal funds did the State return to the Department based on the failure of the LEA/ESA to meet the MOE compliance standard in FFY 2017/SY 2017-18? ($),Required CEIS Was the LEA/ESA required to use 15% of funds for CEIS due to significant disproportionality in SY 2017-18? (Y/N),Required CEIS Was the LEA/ESA identified as having significant disproportionality due to 'identification as a child with a disability'? (Y/N),Required CEIS Was the LEA/ESA identified as having significant disproportionality due to 'identification by disability category'? (Y/N),Required CEIS Was the LEA/ESA identified as having significant disproportionality due to 'placement in a particular educational setting'? (Y/N),Required CEIS Was the LEA/ESA identified as having significant disproportionality due to 'disciplinary action'? (Y/N),Required CEIS Amount reserved for required CEIS in the LEA /ESA in SY 2017-18 ($),Required CEIS Percent taken for required CEIS in the LEA /ESA in SY 2017-18 (%),Voluntary CEIS Did the LEA/ESA voluntarily use up to 15% of IDEA 611 and 619 fund for CEIS in SY 2017-18? (Y/N),Voluntary CEIS Amount reserved for voluntary CEIS in SY 2017-18 ($),Voluntary CEIS Percent taken for voluntary CEIS during SY 2017-18 (%),Total number of children receiving CEIS under the IDEA in the LEA/ESA during SY 2017-18,"Total number of children who received CEIS under the IDEA anytime in the past two school years (including SY 2015-16, SY 2016-17 and SY 2017-18) and received special education and related services in SY 2017-18"
2017,Alabama,Albertville City,,100005,2015-16,985735,1063377,77642,12792,1076169,161425.35,2,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Marshall County,,100006,2015-16,1176977,1229602,52625,15217,1244819,186722.85,2,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Hoover City,,100007,2015-16,2341783,2454691,112908,29969,2484660,372699,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Madison City,,100008,2015-16,1668408,1798314,129906,33298,1831612,274741.8,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Leeds City,,100011,2015-16,410867,431197,20330,2476,433673,65050.95,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Boaz City,,100012,2015-16,453367,481661,28294,7355,489016,73352.4,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Trussville City,,100013,2015-16,689526,732592,43066,15663,748255,112238.25,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Alexander City,,100030,2015-16,687871,709015,21144,19080,728095,109214.25,2,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Andalusia City,,100060,2015-16,430571,445983,15412,29283,475266,71289.9,2,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Anniston City,,100090,2015-16,589179,599460,10281,27847,627307,94096.05,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Arab City,,100100,2015-16,523480,549087,25607,11744,560831,84124.65,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Athens City,,100120,2015-16,752861,964568,211707,9825,974393,146158.95,1,105853,100,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Attalla City,,100180,2015-16,422725,429700,6975,10266,439966,65994.9,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Saraland City,,100185,2015-16,459662,495167,35505,4925,500092,75013.8,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Chickasaw City,,100188,2015-16,266830,280843,14013,3923,284766,42714.9,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Satsuma City,,100189,2015-16,345817,372517,26700,4409,376926,56538.9,2,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Alabaster City,,100190,2015-16,1093342,1139760,46418,15207,1154967,173245.05,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Pelham City,,100194,2015-16,606852,653789,46937,4936,658725,98808.75,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Pike Road City,,100195,2015-16,173607,229712,56105,6370,236082,35412.3,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Acceleration Day and Evening Academy,New,100197,2015-16,+,87857,87857,+,87857,13178.55,+,+,0,+,+,+,+,+,+,+,+,+,+,0,0,+,0,+,+
2017,Alabama,Auburn City,,100210,2015-16,1361536,1458082,96546,21114,1479196,221879.4,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,0,67
2017,Alabama,Autauga County,,100240,2015-16,1899210,1933692,34482,29886,1963578,294536.7,1,17241,100,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Baldwin County,,100270,2015-16,6129131,6412724,283593,131186,6543910,981586.5,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Barbour County,,100300,2015-16,281579,280679,-900,12692,293371,44005.65,1,+,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,50,3
2017,Alabama,Bessemer City,,100330,2015-16,994921,1010434,15513,13732,1024166,153624.9,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Bibb County,,100360,2015-16,829156,850478,21322,24927,875405,131310.75,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,0,94
2017,Alabama,Birmingham City,,100390,2015-16,6830243,6955083,124840,118000,7073083,1060962.45,3,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Blount County,,100420,2015-16,1572472,1618097,45625,29885,1647982,247197.3,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Brewton City,,100450,2015-16,248481,249856,1375,6357,256213,38431.95,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Bullock County,,100480,2015-16,392946,404259,11313,21480,425739,63860.85,2,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,0,54
2017,Alabama,Butler County,,100510,2015-16,837088,864402,27314,18101,882503,132375.45,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Calhoun County,,100540,2015-16,2045874,2089654,43780,20626,2110280,316542,2,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Chambers County,,100600,2015-16,847209,867866,20657,31267,899133,134869.95,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Cherokee County,,100630,2015-16,937222,972197,34975,16644,988841,148326.15,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Chilton County,,100660,2015-16,1722704,1778161,55457,84471,1862632,279394.8,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Choctaw County,,100690,2015-16,411353,416386,5033,15137,431523,64728.45,1,2516,99.98,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Clarke County,,100720,2015-16,685663,702666,17003,28321,730987,109648.05,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Clay County,,100750,2015-16,474336,481276,6940,7349,488625,73293.75,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Cleburne County,,100780,2015-16,612626,631102,18476,43926,675028,101254.2,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Coffee County,,100810,2015-16,454280,478191,23911,17587,495778,74366.7,2,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Colbert County,,100840,2015-16,711280,727086,15806,18088,745174,111776.1,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Conecuh County,,100870,2015-16,432574,485624,53050,15145,500769,75115.35,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Coosa County,,100900,2015-16,299926,304606,4680,11717,316323,47448.45,2,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Covington County,,100930,2015-16,720166,738057,17891,40522,778579,116786.85,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Crenshaw County,,100960,2015-16,483284,512066,28782,8329,520395,78059.25,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Cullman City,,100990,2015-16,605009,620247,15238,23450,643697,96554.55,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Cullman County,,101020,2015-16,1962700,2040233,77533,46507,2086740,313011,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Dale County,,101050,2015-16,683009,720717,37708,10292,731009,109651.35,1,18854,100,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Daleville City,,101080,2015-16,294300,293352,-948,8304,301656,45248.4,1,+,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Dallas County,,101110,2015-16,878225,891434,13209,15172,906606,135990.9,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,DeKalb County,,101140,2015-16,1915524,1998966,83442,31858,2030824,304623.6,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Decatur City,,101170,2015-16,1873560,1949324,75764,43063,1992387,298858.05,2,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Demopolis City,,101200,2015-16,438473,456657,18184,12222,468879,70331.85,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Dothan City,,101230,2015-16,2181512,2238491,56979,104514,2343005,351450.75,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Elba City,,101260,2015-16,174173,181697,7524,5376,187073,28060.95,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Elmore County,,101290,2015-16,2292771,2403371,110600,41651,2445022,366753.3,1,55300,100,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Enterprise City,,101320,2015-16,1240087,1326256,86169,17187,1343443,201516.45,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Escambia County,,101350,2015-16,1025189,1056982,31793,23001,1079983,161997.45,2,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Etowah County,,101380,2015-16,1892086,1958689,66603,34768,1993457,299018.55,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Eufaula City,,101410,2015-16,583715,783539,199824,14213,797752,119662.8,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Fairfield City,,101440,2015-16,410585,418122,7537,8809,426931,64039.65,2,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Fayette County,,101470,2015-16,543494,559877,16383,14672,574549,86182.35,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Florence City,,101530,2015-16,940181,969824,29643,33238,1003062,150459.3,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Fort Payne City,,101560,2015-16,648466,679438,30972,13218,692656,103898.4,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Franklin County,,101590,2015-16,668891,731097,62206,13235,744332,111649.8,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,0,91
2017,Alabama,Gadsden City,,101620,2015-16,1212022,1252514,40492,61528,1314042,197106.3,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Geneva City,,101640,2015-16,288040,299317,11277,15625,314942,47241.3,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Geneva County,,101660,2015-16,580981,605749,24768,5412,611161,91674.15,2,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Greene County,,101680,2015-16,302150,309840,7690,39994,349834,52475.1,2,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,0,301
2017,Alabama,Guntersville City,,101690,2015-16,389345,399115,9770,7833,406948,61042.2,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Hale County,,101710,2015-16,642431,654197,11766,40998,695195,104279.25,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,0,707
2017,Alabama,Haleyville City,,101720,2015-16,368214,384360,16146,15147,399507,59926.05,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Hartselle City,,101730,2015-16,614907,654687,39780,13711,668398,100259.7,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2017,Alabama,Henry County,,101740,2015-16,561445,574516,13071,19540,594056,89108.4,1,+,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
