Amount reserved for voluntary CEIS in 
SY 2016-17 ($)","Voluntary CEIS
Percent taken for voluntary CEIS during 
SY 2016-17 (%)","Total number of children receiving CEIS under the IDEA in the LEA/ESA during 
2016,Alabama,Barbour County,,0100300,2014-15,266519,281579,15060,13471,295050,44257.5,2,+,0,1,1,+,+,1,0,1,0,0,44257.5,15,0,+,0,50,0
2016,Alabama,Bessemer City,,0100330,2014-15,978815,994921,16106,16700,1011621,151743.15,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Bibb County,,0100360,2014-15,836913,829156,-7757,27208,856364,128454.6,1,+,†,1,1,+,+,1,0,1,0,0,128454.6,15,0,+,0,46,34
2016,Alabama,Birmingham City,,0100390,2014-15,6464047,6830243,366196,138246,6968489,1045273.35,2,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Blount County,,0100420,2014-15,1601693,1572472,-29221,35017,1607489,241123.35,1,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Brewton City,,0100450,2014-15,241298,248481,7183,7189,255670,38350.5,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Bullock County,,0100480,2014-15,375055,392946,17891,22632,415578,62336.7,2,+,0,1,1,+,+,1,0,0,1,0,62336.7,15,0,+,0,54,1
2016,Alabama,Butler County,,0100510,2014-15,829420,837088,7668,20536,857624,128643.6,2,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,0,11
2016,Alabama,Calhoun County,,0100540,2014-15,2066283,2045874,-20409,26207,2072081,310812.15,1,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Chambers County,,0100600,2014-15,843749,847209,3460,33891,881100,132165,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Cherokee County,,0100630,2014-15,936566,937222,656,19257,956479,143471.85,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Chilton County,,0100660,2014-15,1687052,1722704,35652,89684,1812388,271858.2,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Choctaw County,,0100690,2014-15,412710,411353,-1357,16094,427447,64117.05,2,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Clarke County,,0100720,2014-15,674603,685663,11060,30196,715859,107378.85,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Clay County,,0100750,2014-15,488076,474336,-13740,8682,483018,72452.7,1,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Cleburne County,,0100780,2014-15,629259,612626,-16633,45633,658259,98738.85,1,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Coffee County,,0100810,2014-15,445867,454280,8413,18727,473007,70951.05,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Colbert County,,0100840,2014-15,712865,711280,-1585,20003,731283,109692.45,1,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Conecuh County,,0100870,2014-15,421482,432574,11092,16215,448789,67318.35,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Coosa County,,0100900,2014-15,305426,299926,-5500,12372,312298,46844.7,1,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
